ontology_id,ontology_title,pid,predicate_ja,predicate_en,domain_qid,domain_concept_ja,range_qid,range_concept_ja,relation_type,strategy_no,strategy_name,verifier,selection_rationale,why_not_others
ont_4_book,Book Ontology,P110,イラストレーター,illustrator,Q47461344,Q47461344,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_4_book,Book Ontology,P156,続く,followed by,Q47461344,Q47461344,Q47461344,Q47461344,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_4_book,Book Ontology,P577,公開日,publication date,Q571,本,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_4_book,Book Ontology,P50,著者,author,Q571,本,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_4_book,Book Ontology,P123,出版社,publisher,Q571,本,Q2085381,出版社,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_4_book,Book Ontology,P674,文字,characters,Q7725634,文学作品,Q95074,架空のキャラクター,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_4_book,Book Ontology,P98,エディタ,editor,Q685935,貿易雑誌,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_4_book,Book Ontology,P291,出版地,place of publication,Q47461344,Q47461344,Q82794,Q82794,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_4_book,Book Ontology,P840,物語の場所,narrative location,Q7725634,文学作品,Q4835091,地域,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_4_book,Book Ontology,P136,ジャンル,genre,Q7725634,文学作品,Q223393,文学作品のジャンル,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
