concept,concept_id,existing_knowledge
シノニム,Q1040689,同義語
映画,Q11424,ゴッドファーザー
ダンス,Q11639,タンゴ
軍用車両,Q1184840,M1エイブラムス
ダム,Q12323,黒部ダム
政治イデオロギー,Q12909644,民族主義
貯水池,Q131681,ヴォルタ湖
祭,Q132241,ハロウィン
スポーツ競技大会,Q13406554,FIFAワールドカップ
自転車レース,Q15091377,ツール・ド・フランス
水域,Q15324,信濃川
映画の登場人物,Q15773347,ミッキーマウス
プロスポーツリーグ,Q15991290,NBA
タクソン,Q16521,哺乳綱
アプリケーションソフトウェア,Q166142,Google ドライブ
流域,Q166620,利根川流域
軍事死傷者分類,Q16861376,KIA（戦死）
武装組織,Q17149090,ヒズブル・ムジャーヒディーン
天体の種類,Q17444909,くじら座τ星
映画製作会社,Q1762059,ワーナー・ブラザース
軍隊の構成単位,Q176799,歩兵
軍装備品,Q18643213,FGM-148 ジャベリン
音楽のジャンル,Q188451,J-POP
コマンド,Q2008856,陸軍レンジャー
スポーツ選手,Q2066131,イチロー
出版社,Q2085381,集英社
音楽作品,Q2188189,世界に一つだけの花
文学作品のジャンル,Q223393,川柳
Q23764314,Q23764314,西武ドーム
渦巻銀河,Q2488,ESO 269-57
スポーツシーズン,Q27020041,F1
政治的立場,Q28819924,共産主義
大統領,Q30461,エイブラハム・リンカーン
言語,Q34770,英語
スポーツ,Q349,野球
流路,Q355304,放水路
小惑星,Q3863,ケレス
宇宙機,Q40218,はやぶさ
選挙,Q40231,統一地方選挙
民族,Q41710,アイヌ民族
組織内の階級,Q4189293,統合幕僚長
組織,Q43229,ヘッケラー&コッホ
スポーツ組織,Q4438121,全米テニス協会
山脈,Q46831,ヒマラヤ山脈
著作物,Q47461344,ハリー・ポッターと賢者の石
アルバム,Q482994,サージェント・ペパーズ・ロンリー・ハーツ・クラブ・バンド
Q4830453,Q4830453,日本電信電話株式会社
ジャンル,Q483394,ファンタジー
領域,Q4835091,ローマ
ヒト,Q5,レオナルド・ダ・ヴィンチ
都市,Q515,東京
コンピュータ・モデル,Q55990535,チューリングマシン
軍隊の階級,Q56019,元帥大将
本,Q571,論語
宇宙飛行,Q5916,アポロ計画
賞,Q618779,アカデミー賞
国,Q6256,日本
観測所,Q62832,グリニッジ天文台
コンピュータ,Q68,MacBook
業界誌,Q685935,日経産業新聞
政党,Q7278,自由民主党
芸術,Q735,天空の城ラピュタ
声,Q7390,テノール
ソフトウェア,Q7397,エクセル
文学作品,Q7725634,おくのほそ道
文学,Q8242,物語
保全状況,Q82673,準絶滅危惧
地域,Q82794,東ヨーロッパ
スポーツクラブ,Q847017,ニューヨーク・ヤンキース
山,Q8502,エベレスト
星座,Q8928,いて座
オペレーティングシステム,Q9135,Windows 7
宗教,Q9174,仏教
架空のキャラクター,Q95074,孫悟空
